epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,222.703,0.54331,0.78602,0.83394,0.90184,0.95306,0.96499,0.86854,0.54564,1.29737,0.82031,0.000986206,0.000986206,0.000986206
43,227.412,0.56304,0.87977,0.84227,0.90184,0.95306,0.96499,0.86854,0.54564,1.29737,0.82031,0.00099314,0.00099314,0.00099314
44,232.332,0.51128,0.73885,0.83727,0.95913,0.97375,0.98376,0.88282,0.55193,1.13829,0.82514,0.000999282,0.000999282,0.000999282
45,237.019,0.50307,0.73492,0.83628,0.95913,0.97375,0.98376,0.88282,0.55193,1.13829,0.82514,0.00100463,0.00100463,0.00100463
46,241.82,0.51598,0.77711,0.83698,0.97468,0.9834,0.99196,0.89577,0.52665,1.01837,0.81694,0.00100919,0.00100919,0.00100919
47,246.8,0.50489,0.84334,0.8289,0.97468,0.9834,0.99196,0.89577,0.52665,1.01837,0.81694,0.00101296,0.00101296,0.00101296
48,252.074,0.5518,0.74641,0.8274,0.98348,0.98783,0.99454,0.90229,0.52332,0.89957,0.81145,0.00101593,0.00101593,0.00101593
49,256.953,0.5099,0.72933,0.82647,0.98348,0.98783,0.99454,0.90229,0.52332,0.89957,0.81145,0.00101811,0.00101811,0.00101811
50,262.242,0.52916,0.73307,0.83183,0.99167,0.98846,0.99488,0.91085,0.48278,0.77055,0.80422,0.0010195,0.0010195,0.0010195
51,267.383,0.46943,0.69184,0.81808,0.99167,0.98846,0.99488,0.91085,0.48278,0.77055,0.80422,0.00101,0.00101,0.00101
52,272.032,0.52873,0.72572,0.85854,0.99082,0.9917,0.99488,0.92316,0.44448,0.65408,0.8015,0.0009902,0.0009902,0.0009902
53,276.709,0.49961,0.67929,0.82307,0.99082,0.9917,0.99488,0.92316,0.44448,0.65408,0.8015,0.0009704,0.0009704,0.0009704
54,281.416,0.53451,0.71474,0.82662,0.9917,0.99166,0.99483,0.93292,0.41518,0.59226,0.80176,0.0009506,0.0009506,0.0009506
55,285.958,0.50105,0.72787,0.82623,0.9917,0.99166,0.99483,0.93292,0.41518,0.59226,0.80176,0.0009308,0.0009308,0.0009308
56,290.639,0.47843,0.7049,0.82739,0.9917,0.9914,0.99483,0.93646,0.40621,0.56553,0.8006,0.000911,0.000911,0.000911
57,295.167,0.51457,0.63909,0.84365,0.9917,0.9914,0.99483,0.93646,0.40621,0.56553,0.8006,0.0008912,0.0008912,0.0008912
58,299.745,0.46406,0.62494,0.83298,0.99044,0.9917,0.99487,0.93818,0.41533,0.54978,0.802,0.0008714,0.0008714,0.0008714
59,304.431,0.48451,0.69315,0.82989,0.99044,0.9917,0.99487,0.93818,0.41533,0.54978,0.802,0.0008516,0.0008516,0.0008516
60,309.068,0.49214,0.66042,0.83487,0.99102,0.9917,0.99483,0.93235,0.39743,0.53196,0.80099,0.0008318,0.0008318,0.0008318
61,313.612,0.45625,0.66298,0.82548,0.99102,0.9917,0.99483,0.93235,0.39743,0.53196,0.80099,0.000812,0.000812,0.000812
62,318.765,0.44479,0.63347,0.82274,0.98653,0.9917,0.99479,0.91684,0.42698,0.52302,0.80774,0.0007922,0.0007922,0.0007922
63,323.673,0.44955,0.62575,0.82397,0.98653,0.9917,0.99479,0.91684,0.42698,0.52302,0.80774,0.0007724,0.0007724,0.0007724
64,328.391,0.47297,0.63499,0.83218,0.99169,0.99028,0.99492,0.92953,0.41477,0.5141,0.80699,0.0007526,0.0007526,0.0007526
65,333.295,0.4628,0.62184,0.81552,0.99169,0.99028,0.99492,0.92953,0.41477,0.5141,0.80699,0.0007328,0.0007328,0.0007328
66,337.913,0.48586,0.60071,0.81084,0.99109,0.9917,0.99496,0.92862,0.39787,0.5035,0.8041,0.000713,0.000713,0.000713
67,342.411,0.44403,0.59384,0.82629,0.99109,0.9917,0.99496,0.92862,0.39787,0.5035,0.8041,0.0006932,0.0006932,0.0006932
68,347.736,0.49058,0.65808,0.81263,0.99099,0.9917,0.99496,0.93175,0.39226,0.48868,0.80222,0.0006734,0.0006734,0.0006734
69,352.717,0.47097,0.66145,0.82262,0.99099,0.9917,0.99496,0.93175,0.39226,0.48868,0.80222,0.0006536,0.0006536,0.0006536
70,357.527,0.41638,0.59086,0.82164,0.98981,0.9917,0.99487,0.94459,0.36374,0.46448,0.79695,0.0006338,0.0006338,0.0006338
71,362.328,0.46927,0.66265,0.81529,0.98981,0.9917,0.99487,0.94459,0.36374,0.46448,0.79695,0.000614,0.000614,0.000614
72,366.961,0.4048,0.51684,0.82037,0.98993,0.9917,0.99487,0.93296,0.38399,0.45545,0.7981,0.0005942,0.0005942,0.0005942
73,371.646,0.44092,0.61869,0.82311,0.98993,0.9917,0.99487,0.93296,0.38399,0.45545,0.7981,0.0005744,0.0005744,0.0005744
74,376.369,0.44794,0.66883,0.82233,0.99167,0.98779,0.99488,0.9282,0.39321,0.45521,0.79755,0.0005546,0.0005546,0.0005546
75,380.942,0.5481,0.77327,0.83134,0.99167,0.98779,0.99488,0.9282,0.39321,0.45521,0.79755,0.0005348,0.0005348,0.0005348
76,385.409,0.4182,0.52919,0.81531,0.993,0.98755,0.99488,0.93748,0.37665,0.44748,0.79469,0.000515,0.000515,0.000515
77,389.86,0.41969,0.54962,0.82052,0.993,0.98755,0.99488,0.93748,0.37665,0.44748,0.79469,0.0004952,0.0004952,0.0004952
78,394.34,0.4289,0.6448,0.8194,0.99289,0.98755,0.99483,0.94089,0.35751,0.44514,0.79334,0.0004754,0.0004754,0.0004754
79,398.802,0.41943,0.54762,0.82442,0.99289,0.98755,0.99483,0.94089,0.35751,0.44514,0.79334,0.0004556,0.0004556,0.0004556
80,403.374,0.42018,0.57194,0.81014,0.99167,0.98815,0.99479,0.94269,0.35253,0.43994,0.79354,0.0004358,0.0004358,0.0004358
81,408.056,0.44402,0.62387,0.81957,0.99167,0.98815,0.99479,0.94269,0.35253,0.43994,0.79354,0.000416,0.000416,0.000416
82,413.137,0.41969,0.61466,0.81622,0.9924,0.98755,0.99483,0.94732,0.34938,0.44079,0.79321,0.0003962,0.0003962,0.0003962
83,418.487,0.40917,0.55726,0.82355,0.9924,0.98755,0.99483,0.94732,0.34938,0.44079,0.79321,0.0003764,0.0003764,0.0003764
84,423.759,0.47818,0.63912,0.81163,0.99537,0.98755,0.99492,0.94023,0.34514,0.4442,0.79244,0.0003566,0.0003566,0.0003566
85,429,0.4183,0.56643,0.81036,0.99537,0.98755,0.99492,0.94023,0.34514,0.4442,0.79244,0.0003368,0.0003368,0.0003368
86,433.908,0.44918,0.67917,0.81136,0.99581,0.98671,0.99492,0.93493,0.35423,0.44918,0.79281,0.000317,0.000317,0.000317
87,438.566,0.42722,0.52799,0.81248,0.99581,0.98671,0.99492,0.93493,0.35423,0.44918,0.79281,0.0002972,0.0002972,0.0002972
88,443.634,0.4161,0.57127,0.81391,0.99454,0.98755,0.99488,0.93801,0.35399,0.44969,0.79207,0.0002774,0.0002774,0.0002774
89,448.692,0.4892,0.62084,0.84272,0.99454,0.98755,0.99488,0.93801,0.35399,0.44969,0.79207,0.0002576,0.0002576,0.0002576
90,453.521,0.41586,0.61177,0.81854,0.99418,0.98755,0.99488,0.94167,0.34475,0.44718,0.79089,0.0002378,0.0002378,0.0002378
91,457.305,0.44471,0.47321,0.80516,0.99418,0.98755,0.99488,0.94167,0.34475,0.44718,0.79089,0.000218,0.000218,0.000218
92,461.134,0.42798,0.45659,0.80472,0.99169,0.9901,0.99479,0.94102,0.34225,0.43229,0.79067,0.0001982,0.0001982,0.0001982
93,464.622,0.41355,0.47367,0.79624,0.99169,0.9901,0.99479,0.94102,0.34225,0.43229,0.79067,0.0001784,0.0001784,0.0001784
94,467.944,0.41404,0.45524,0.79691,0.9915,0.9917,0.99479,0.94525,0.34503,0.41879,0.79083,0.0001586,0.0001586,0.0001586
95,471.468,0.41306,0.44839,0.79904,0.9915,0.9917,0.99479,0.94525,0.34503,0.41879,0.79083,0.0001388,0.0001388,0.0001388
96,474.823,0.42409,0.4631,0.79955,0.9913,0.9917,0.99483,0.94458,0.34553,0.40819,0.79096,0.000119,0.000119,0.000119
97,478.546,0.38535,0.42528,0.80152,0.9913,0.9917,0.99483,0.94458,0.34553,0.40819,0.79096,9.92e-05,9.92e-05,9.92e-05
98,482.395,0.3956,0.42485,0.79791,0.98541,0.9917,0.99483,0.94292,0.34272,0.39837,0.79057,7.94e-05,7.94e-05,7.94e-05
99,486.175,0.38129,0.41412,0.80237,0.98541,0.9917,0.99483,0.94292,0.34272,0.39837,0.79057,5.96e-05,5.96e-05,5.96e-05
100,489.57,0.40345,0.46082,0.82187,0.98359,0.99512,0.99479,0.94588,0.33995,0.39069,0.79033,3.98e-05,3.98e-05,3.98e-05
